Please cite: Lisiecki, L. E., and M. E. Raymo (2005), A Pliocene-
Pleistocene stack of 57 globally distributed benthic d18O records, 
Paleoceanography,20, PA1003, doi:10.1029/2004PA001071.		

Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0.0	3.23	0.03
1.0	3.23	0.04
2.0	3.18	0.03
3.0	3.29	0.03
4.0	3.30	0.03
5.0	3.26	0.03
6.0	3.33	0.04
7.0	3.37	0.04
8.0	3.42	0.03
9.0	3.38	0.04
10.0	3.52	0.04
11.0	3.60	0.04
12.0	3.92	0.05
13.0	4.06	0.04
14.0	4.28	0.03
15.0	4.49	0.04
16.0	4.75	0.03
17.0	4.88	0.04
18.0	5.02	0.03
19.0	4.96	0.03
20.0	4.99	0.04
21.0	4.91	0.03
22.0	4.88	0.03
23.0	4.86	0.03
24.0	4.81	0.04
25.0	4.82	0.02
26.0	4.67	0.04
27.0	4.75	0.04
28.0	4.75	0.03
29.0	4.73	0.03
30.0	4.62	0.04
31.0	4.62	0.03
32.0	4.60	0.03
33.0	4.58	0.03
34.0	4.59	0.03
35.0	4.54	0.02
36.0	4.45	0.03
37.0	4.46	0.03
38.0	4.41	0.03
39.0	4.55	0.03
40.0	4.55	0.03
41.0	4.51	0.05
42.0	4.50	0.03
43.0	4.46	0.04
44.0	4.48	0.03
45.0	4.33	0.04
46.0	4.36	0.05
47.0	4.38	0.04
48.0	4.45	0.04
49.0	4.46	0.03
50.0	4.34	0.04
51.0	4.33	0.05
52.0	4.31	0.04
53.0	4.44	0.03
54.0	4.38	0.04
55.0	4.31	0.03
56.0	4.35	0.04
57.0	4.43	0.04
58.0	4.49	0.06
59.0	4.43	0.04
60.0	4.60	0.04
61.0	4.51	0.05
62.0	4.60	0.04
63.0	4.53	0.04
64.0	4.36	0.06
65.0	4.48	0.05
66.0	4.57	0.04
67.0	4.44	0.05
68.0	4.42	0.06
69.0	4.47	0.05
70.0	4.32	0.04
71.0	4.22	0.05
72.0	4.21	0.04
73.0	4.23	0.04
74.0	4.03	0.04
75.0	3.95	0.04
76.0	4.06	0.04
77.0	4.08	0.05
78.0	4.05	0.03
79.0	4.05	0.05
80.0	3.90	0.04
81.0	3.82	0.04
82.0	3.80	0.04
83.0	3.83	0.04
84.0	3.82	0.04
85.0	3.95	0.06
86.0	4.06	0.05
87.0	4.18	0.05
88.0	4.11	0.05
89.0	4.08	0.04
90.0	4.06	0.05
91.0	4.03	0.04
92.0	3.98	0.04
93.0	3.90	0.03
94.0	3.84	0.04
95.0	3.77	0.05
96.0	3.75	0.03
97.0	3.83	0.04
